삼복승_1번선수,삼복승_2번선수,삼복승_3번선수,삼복승_4번선수,삼복승_5번선수,삼복승_6번선수
3.0,0.0,1.0,0.0,2.0,0.0
2.0,1.0,3.0,0.0,0.0,0.0
2.0,3.0,0.0,0.0,1.0,0.0
1.0,0.0,2.0,0.0,0.0,3.0
3.0,0.0,2.0,0.0,0.0,1.0
1.0,0.0,3.0,2.0,0.0,0.0
0.0,3.0,2.0,1.0,0.0,0.0
1.0,3.0,2.0,0.0,0.0,0.0
0.0,0.0,0.0,2.0,1.0,3.0
1.0,3.0,0.0,2.0,0.0,0.0
1.0,0.0,3.0,0.0,0.0,2.0
3.0,0.0,2.0,1.0,0.0,0.0
0.0,1.0,0.0,2.0,3.0,0.0
1.0,2.0,0.0,0.0,3.0,0.0
1.0,0.0,0.0,2.0,0.0,3.0
0.0,1.0,0.0,2.0,3.0,0.0
2.0,0.0,0.0,1.0,0.0,3.0
0.0,0.0,3.0,1.0,0.0,2.0
0.0,2.0,1.0,0.0,0.0,3.0
2.0,0.0,1.0,3.0,0.0,0.0
0.0,2.0,1.0,0.0,0.0,3.0
0.0,3.0,2.0,0.0,1.0,0.0
2.0,1.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,1.0,0.0
3.0,1.0,0.0,0.0,2.0,0.0
2.0,1.0,0.0,0.0,0.0,3.0
2.0,0.0,0.0,3.0,1.0,0.0
3.0,1.0,0.0,0.0,0.0,2.0
0.0,3.0,0.0,1.0,2.0,0.0
0.0,0.0,1.0,0.0,2.0,3.0
3.0,1.0,0.0,2.0,0.0,0.0
2.0,3.0,1.0,0.0,0.0,0.0
1.0,3.0,0.0,0.0,2.0,0.0
0.0,1.0,2.0,0.0,0.0,3.0
0.0,1.0,3.0,0.0,2.0,0.0
0.0,2.0,1.0,3.0,0.0,0.0
1.0,2.0,0.0,3.0,0.0,0.0
0.0,2.0,0.0,1.0,3.0,0.0
2.0,0.0,0.0,1.0,0.0,3.0
3.0,0.0,1.0,2.0,0.0,0.0
1.0,0.0,0.0,3.0,2.0,0.0
2.0,0.0,1.0,3.0,0.0,0.0
0.0,0.0,2.0,1.0,0.0,3.0
0.0,1.0,2.0,3.0,0.0,0.0
0.0,3.0,1.0,2.0,0.0,0.0
2.0,1.0,3.0,0.0,0.0,0.0
1.0,0.0,3.0,2.0,0.0,0.0
1.0,0.0,3.0,2.0,0.0,0.0
2.0,1.0,0.0,3.0,0.0,0.0
1.0,0.0,0.0,2.0,3.0,0.0
1.0,3.0,0.0,0.0,0.0,2.0
0.0,1.0,0.0,2.0,3.0,0.0
1.0,0.0,0.0,2.0,3.0,0.0
1.0,2.0,0.0,3.0,0.0,0.0
1.0,2.0,0.0,0.0,0.0,3.0
2.0,1.0,0.0,0.0,3.0,0.0
0.0,2.0,0.0,3.0,0.0,1.0
1.0,2.0,0.0,0.0,3.0,0.0
1.0,3.0,0.0,2.0,0.0,0.0
1.0,2.0,3.0,0.0,0.0,0.0
1.0,3.0,0.0,2.0,0.0,0.0
2.0,0.0,0.0,1.0,3.0,0.0
0.0,1.0,0.0,0.0,2.0,3.0
1.0,3.0,2.0,0.0,0.0,0.0
0.0,2.0,0.0,3.0,0.0,1.0
0.0,1.0,3.0,2.0,0.0,0.0
0.0,1.0,2.0,0.0,3.0,0.0
0.0,1.0,3.0,0.0,0.0,2.0
0.0,1.0,0.0,0.0,3.0,2.0
1.0,0.0,3.0,2.0,0.0,0.0
1.0,0.0,3.0,2.0,0.0,0.0
0.0,1.0,3.0,2.0,0.0,0.0
0.0,3.0,1.0,0.0,0.0,2.0
1.0,0.0,3.0,0.0,0.0,2.0
2.0,0.0,1.0,0.0,3.0,0.0
0.0,2.0,1.0,0.0,0.0,3.0
1.0,0.0,2.0,3.0,0.0,0.0
2.0,3.0,0.0,1.0,0.0,0.0
1.0,2.0,0.0,3.0,0.0,0.0
1.0,0.0,2.0,0.0,0.0,3.0
2.0,0.0,1.0,3.0,0.0,0.0
3.0,0.0,2.0,1.0,0.0,0.0
2.0,0.0,3.0,0.0,1.0,0.0
0.0,0.0,2.0,0.0,1.0,3.0
1.0,0.0,2.0,3.0,0.0,0.0
2.0,1.0,3.0,0.0,0.0,0.0
3.0,0.0,1.0,0.0,2.0,0.0
1.0,0.0,0.0,2.0,3.0,0.0
0.0,0.0,1.0,2.0,0.0,3.0
2.0,1.0,0.0,0.0,0.0,3.0
1.0,0.0,0.0,0.0,2.0,3.0
0.0,3.0,1.0,0.0,2.0,0.0
1.0,0.0,2.0,0.0,3.0,0.0
2.0,1.0,3.0,0.0,0.0,0.0
2.0,0.0,3.0,1.0,0.0,0.0
1.0,3.0,2.0,0.0,0.0,0.0
0.0,3.0,0.0,2.0,1.0,0.0
1.0,0.0,0.0,2.0,3.0,0.0
0.0,1.0,2.0,0.0,3.0,0.0
0.0,1.0,0.0,0.0,2.0,3.0
1.0,3.0,2.0,0.0,0.0,0.0
2.0,1.0,0.0,0.0,3.0,0.0
1.0,0.0,0.0,3.0,2.0,0.0
3.0,1.0,0.0,2.0,0.0,0.0
0.0,3.0,2.0,1.0,0.0,0.0
0.0,1.0,2.0,0.0,3.0,0.0
1.0,0.0,2.0,0.0,0.0,3.0
1.0,2.0,0.0,3.0,0.0,0.0
2.0,1.0,3.0,0.0,0.0,0.0
2.0,1.0,3.0,0.0,0.0,0.0
0.0,1.0,3.0,0.0,0.0,2.0
0.0,2.0,1.0,0.0,3.0,0.0
1.0,2.0,3.0,0.0,0.0,0.0
0.0,0.0,2.0,1.0,3.0,0.0
0.0,1.0,3.0,0.0,0.0,2.0
2.0,0.0,3.0,0.0,1.0,0.0
1.0,0.0,0.0,3.0,0.0,2.0
0.0,1.0,0.0,3.0,0.0,2.0
0.0,2.0,1.0,3.0,0.0,0.0
1.0,0.0,3.0,2.0,0.0,0.0
1.0,0.0,2.0,0.0,3.0,0.0
0.0,1.0,0.0,3.0,2.0,0.0
1.0,0.0,3.0,0.0,2.0,0.0
2.0,1.0,0.0,3.0,0.0,0.0
1.0,2.0,0.0,0.0,3.0,0.0
0.0,2.0,0.0,1.0,0.0,3.0
1.0,2.0,0.0,0.0,0.0,3.0
2.0,3.0,0.0,1.0,0.0,0.0
1.0,2.0,0.0,0.0,0.0,3.0
1.0,2.0,0.0,0.0,3.0,0.0
2.0,0.0,0.0,1.0,0.0,3.0
3.0,2.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,1.0,2.0,3.0
1.0,0.0,0.0,2.0,0.0,3.0
3.0,1.0,0.0,2.0,0.0,0.0
1.0,2.0,3.0,0.0,0.0,0.0
0.0,1.0,2.0,0.0,3.0,0.0
0.0,3.0,1.0,2.0,0.0,0.0
2.0,0.0,0.0,1.0,0.0,3.0
1.0,3.0,2.0,0.0,0.0,0.0
0.0,1.0,2.0,3.0,0.0,0.0
2.0,1.0,0.0,3.0,0.0,0.0
0.0,3.0,0.0,1.0,2.0,0.0
0.0,2.0,3.0,1.0,0.0,0.0
0.0,2.0,1.0,0.0,3.0,0.0
1.0,0.0,0.0,2.0,0.0,3.0
0.0,0.0,1.0,0.0,3.0,2.0
2.0,0.0,0.0,1.0,3.0,0.0
0.0,1.0,3.0,0.0,0.0,2.0
2.0,1.0,0.0,3.0,0.0,0.0
1.0,2.0,3.0,0.0,0.0,0.0
1.0,3.0,0.0,2.0,0.0,0.0
1.0,2.0,0.0,0.0,0.0,3.0
0.0,1.0,0.0,3.0,2.0,0.0
1.0,2.0,0.0,0.0,3.0,0.0
3.0,2.0,0.0,1.0,0.0,0.0
3.0,0.0,2.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0,2.0,3.0
0.0,2.0,3.0,1.0,0.0,0.0
0.0,0.0,3.0,0.0,1.0,2.0
0.0,1.0,3.0,2.0,0.0,0.0
0.0,2.0,0.0,3.0,1.0,0.0
2.0,1.0,3.0,0.0,0.0,0.0
1.0,0.0,3.0,0.0,0.0,2.0
1.0,0.0,2.0,0.0,0.0,3.0
1.0,2.0,0.0,3.0,0.0,0.0
1.0,0.0,3.0,2.0,0.0,0.0
0.0,3.0,0.0,1.0,0.0,2.0
3.0,2.0,1.0,0.0,0.0,0.0
1.0,0.0,2.0,3.0,0.0,0.0
0.0,1.0,2.0,0.0,0.0,3.0
1.0,0.0,0.0,0.0,2.0,3.0
0.0,0.0,0.0,1.0,3.0,2.0
1.0,2.0,0.0,0.0,3.0,0.0
3.0,2.0,0.0,1.0,0.0,0.0
1.0,0.0,2.0,3.0,0.0,0.0
2.0,1.0,0.0,0.0,3.0,0.0
3.0,1.0,0.0,0.0,2.0,0.0
2.0,3.0,0.0,1.0,0.0,0.0
1.0,0.0,3.0,2.0,0.0,0.0
1.0,0.0,0.0,2.0,3.0,0.0
1.0,2.0,0.0,3.0,0.0,0.0
0.0,1.0,3.0,2.0,0.0,0.0
1.0,0.0,0.0,2.0,0.0,3.0
2.0,1.0,0.0,0.0,3.0,0.0
3.0,1.0,0.0,0.0,2.0,0.0
1.0,2.0,0.0,3.0,0.0,0.0
2.0,1.0,0.0,0.0,3.0,0.0
1.0,0.0,3.0,2.0,0.0,0.0
0.0,0.0,2.0,0.0,1.0,3.0
1.0,0.0,0.0,0.0,3.0,2.0
2.0,1.0,0.0,0.0,3.0,0.0
0.0,1.0,3.0,2.0,0.0,0.0
0.0,2.0,1.0,3.0,0.0,0.0
1.0,2.0,3.0,0.0,0.0,0.0
0.0,3.0,1.0,2.0,0.0,0.0
0.0,0.0,0.0,1.0,2.0,3.0
0.0,0.0,1.0,3.0,2.0,0.0
1.0,2.0,3.0,0.0,0.0,0.0
1.0,3.0,0.0,2.0,0.0,0.0
2.0,3.0,0.0,1.0,0.0,0.0
1.0,0.0,2.0,3.0,0.0,0.0
0.0,2.0,1.0,0.0,3.0,0.0
3.0,1.0,0.0,2.0,0.0,0.0
2.0,0.0,1.0,3.0,0.0,0.0
1.0,2.0,3.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,2.0,3.0
0.0,0.0,2.0,0.0,1.0,3.0
2.0,0.0,3.0,1.0,0.0,0.0
2.0,0.0,1.0,0.0,3.0,0.0
3.0,2.0,0.0,0.0,0.0,1.0
1.0,0.0,2.0,0.0,0.0,3.0
1.0,2.0,0.0,0.0,3.0,0.0
2.0,3.0,0.0,0.0,0.0,1.0
0.0,1.0,0.0,0.0,3.0,2.0
1.0,2.0,0.0,3.0,0.0,0.0
0.0,2.0,0.0,0.0,1.0,3.0
0.0,1.0,3.0,0.0,2.0,0.0
1.0,0.0,2.0,0.0,0.0,3.0
0.0,1.0,0.0,2.0,0.0,3.0
2.0,1.0,3.0,0.0,0.0,0.0
0.0,2.0,0.0,1.0,3.0,0.0
1.0,0.0,0.0,3.0,0.0,2.0
0.0,2.0,3.0,0.0,1.0,0.0
0.0,2.0,3.0,0.0,1.0,0.0
0.0,3.0,2.0,1.0,0.0,0.0
0.0,1.0,0.0,2.0,3.0,0.0
0.0,1.0,2.0,0.0,3.0,0.0
1.0,2.0,0.0,3.0,0.0,0.0
3.0,1.0,0.0,0.0,0.0,2.0
3.0,2.0,0.0,0.0,0.0,1.0
1.0,0.0,3.0,0.0,0.0,2.0
1.0,0.0,3.0,0.0,0.0,2.0
3.0,1.0,0.0,0.0,2.0,0.0
3.0,1.0,2.0,0.0,0.0,0.0
2.0,0.0,3.0,0.0,1.0,0.0
1.0,0.0,0.0,2.0,3.0,0.0
1.0,0.0,2.0,0.0,0.0,3.0
0.0,2.0,1.0,3.0,0.0,0.0
3.0,1.0,0.0,2.0,0.0,0.0
1.0,2.0,3.0,0.0,0.0,0.0
0.0,1.0,0.0,3.0,2.0,0.0
0.0,0.0,0.0,1.0,2.0,3.0
3.0,0.0,0.0,1.0,2.0,0.0
1.0,2.0,0.0,0.0,3.0,0.0
0.0,0.0,1.0,0.0,2.0,3.0
2.0,0.0,0.0,1.0,3.0,0.0
3.0,0.0,1.0,2.0,0.0,0.0
0.0,3.0,1.0,0.0,0.0,2.0
3.0,0.0,1.0,2.0,0.0,0.0
0.0,3.0,1.0,0.0,2.0,0.0
3.0,0.0,0.0,2.0,0.0,1.0
0.0,1.0,3.0,0.0,2.0,0.0
1.0,2.0,0.0,0.0,3.0,0.0
1.0,0.0,3.0,0.0,0.0,2.0
2.0,0.0,1.0,0.0,3.0,0.0
2.0,1.0,3.0,0.0,0.0,0.0
1.0,0.0,0.0,3.0,2.0,0.0
1.0,2.0,0.0,0.0,3.0,0.0
1.0,0.0,0.0,2.0,3.0,0.0
3.0,0.0,0.0,1.0,0.0,2.0
2.0,1.0,0.0,3.0,0.0,0.0
2.0,3.0,0.0,0.0,1.0,0.0
2.0,0.0,0.0,3.0,0.0,1.0
0.0,2.0,3.0,1.0,0.0,0.0
2.0,0.0,3.0,0.0,0.0,1.0
1.0,2.0,3.0,0.0,0.0,0.0
3.0,2.0,0.0,0.0,1.0,0.0
0.0,2.0,0.0,1.0,3.0,0.0
3.0,0.0,2.0,0.0,1.0,0.0
0.0,2.0,0.0,3.0,1.0,0.0
2.0,1.0,0.0,3.0,0.0,0.0
1.0,2.0,3.0,0.0,0.0,0.0
3.0,0.0,1.0,2.0,0.0,0.0
1.0,3.0,0.0,0.0,0.0,2.0
2.0,1.0,3.0,0.0,0.0,0.0
0.0,1.0,3.0,0.0,0.0,2.0
1.0,0.0,2.0,0.0,0.0,3.0
3.0,1.0,2.0,0.0,0.0,0.0
1.0,0.0,2.0,0.0,0.0,3.0
0.0,1.0,0.0,0.0,2.0,3.0
2.0,1.0,0.0,0.0,3.0,0.0
1.0,2.0,0.0,0.0,3.0,0.0
1.0,3.0,2.0,0.0,0.0,0.0
1.0,0.0,2.0,0.0,0.0,3.0
0.0,2.0,3.0,1.0,0.0,0.0
1.0,0.0,0.0,2.0,3.0,0.0
1.0,3.0,0.0,0.0,0.0,2.0
1.0,2.0,0.0,3.0,0.0,0.0
2.0,1.0,0.0,3.0,0.0,0.0
1.0,2.0,3.0,0.0,0.0,0.0
2.0,1.0,0.0,0.0,0.0,3.0
2.0,3.0,0.0,0.0,1.0,0.0
1.0,0.0,2.0,0.0,0.0,3.0
0.0,3.0,1.0,2.0,0.0,0.0
1.0,3.0,2.0,0.0,0.0,0.0
2.0,0.0,1.0,0.0,3.0,0.0
3.0,0.0,1.0,0.0,0.0,2.0
0.0,3.0,0.0,0.0,2.0,1.0
1.0,2.0,0.0,3.0,0.0,0.0
0.0,2.0,3.0,0.0,1.0,0.0
0.0,1.0,0.0,3.0,2.0,0.0
0.0,1.0,0.0,2.0,3.0,0.0
0.0,2.0,1.0,0.0,3.0,0.0
0.0,1.0,0.0,2.0,3.0,0.0
0.0,0.0,2.0,3.0,1.0,0.0
3.0,0.0,2.0,1.0,0.0,0.0
3.0,1.0,2.0,0.0,0.0,0.0
0.0,0.0,2.0,0.0,1.0,3.0
0.0,1.0,2.0,3.0,0.0,0.0
0.0,1.0,3.0,0.0,2.0,0.0
0.0,0.0,0.0,1.0,2.0,3.0
3.0,1.0,0.0,2.0,0.0,0.0
0.0,3.0,0.0,1.0,2.0,0.0
2.0,0.0,0.0,1.0,3.0,0.0
1.0,0.0,2.0,0.0,3.0,0.0
0.0,1.0,0.0,2.0,3.0,0.0
0.0,2.0,1.0,0.0,3.0,0.0
2.0,0.0,1.0,3.0,0.0,0.0
1.0,3.0,0.0,2.0,0.0,0.0
0.0,2.0,0.0,0.0,1.0,3.0
3.0,0.0,2.0,1.0,0.0,0.0
2.0,0.0,0.0,1.0,3.0,0.0
2.0,0.0,1.0,0.0,3.0,0.0
0.0,3.0,1.0,0.0,2.0,0.0
0.0,0.0,1.0,2.0,3.0,0.0
2.0,3.0,0.0,0.0,1.0,0.0
1.0,2.0,0.0,0.0,3.0,0.0
0.0,1.0,0.0,3.0,0.0,2.0
2.0,1.0,3.0,0.0,0.0,0.0
0.0,1.0,2.0,0.0,0.0,3.0
1.0,0.0,2.0,0.0,3.0,0.0
2.0,0.0,3.0,1.0,0.0,0.0
0.0,3.0,2.0,1.0,0.0,0.0
0.0,1.0,2.0,0.0,0.0,3.0
1.0,0.0,3.0,0.0,2.0,0.0
0.0,3.0,1.0,0.0,2.0,0.0
2.0,0.0,1.0,0.0,3.0,0.0
1.0,2.0,0.0,3.0,0.0,0.0
1.0,2.0,0.0,3.0,0.0,0.0
2.0,0.0,1.0,0.0,0.0,3.0
1.0,0.0,0.0,0.0,2.0,3.0
3.0,2.0,1.0,0.0,0.0,0.0
2.0,3.0,1.0,0.0,0.0,0.0
0.0,2.0,1.0,0.0,3.0,0.0
1.0,0.0,2.0,0.0,0.0,3.0
1.0,2.0,0.0,0.0,3.0,0.0
2.0,1.0,0.0,3.0,0.0,0.0
0.0,1.0,3.0,0.0,0.0,2.0
3.0,0.0,0.0,0.0,1.0,2.0
0.0,1.0,3.0,0.0,2.0,0.0
2.0,0.0,0.0,3.0,1.0,0.0
2.0,1.0,0.0,0.0,3.0,0.0
1.0,3.0,2.0,0.0,0.0,0.0
0.0,1.0,2.0,0.0,3.0,0.0
0.0,1.0,2.0,0.0,0.0,3.0
1.0,0.0,3.0,2.0,0.0,0.0
0.0,2.0,0.0,1.0,3.0,0.0
3.0,1.0,2.0,0.0,0.0,0.0
3.0,2.0,0.0,0.0,1.0,0.0
2.0,0.0,3.0,1.0,0.0,0.0
3.0,2.0,1.0,0.0,0.0,0.0
1.0,2.0,0.0,3.0,0.0,0.0
0.0,0.0,1.0,2.0,3.0,0.0
0.0,0.0,1.0,0.0,3.0,2.0
0.0,1.0,3.0,0.0,2.0,0.0
2.0,0.0,3.0,0.0,0.0,1.0
3.0,0.0,1.0,0.0,2.0,0.0
2.0,0.0,1.0,0.0,3.0,0.0
0.0,2.0,1.0,0.0,3.0,0.0
2.0,1.0,0.0,0.0,3.0,0.0
0.0,1.0,3.0,2.0,0.0,0.0
1.0,2.0,0.0,3.0,0.0,0.0
2.0,1.0,0.0,3.0,0.0,0.0
3.0,2.0,0.0,1.0,0.0,0.0
3.0,2.0,1.0,0.0,0.0,0.0
3.0,1.0,0.0,0.0,0.0,2.0
2.0,0.0,3.0,1.0,0.0,0.0
3.0,2.0,1.0,0.0,0.0,0.0
1.0,3.0,0.0,0.0,2.0,0.0
2.0,1.0,0.0,0.0,3.0,0.0
1.0,2.0,3.0,0.0,0.0,0.0
3.0,1.0,0.0,2.0,0.0,0.0
0.0,3.0,1.0,0.0,0.0,2.0
0.0,0.0,1.0,2.0,0.0,3.0
1.0,0.0,0.0,3.0,2.0,0.0
2.0,3.0,1.0,0.0,0.0,0.0
1.0,2.0,3.0,0.0,0.0,0.0
0.0,3.0,0.0,1.0,2.0,0.0
1.0,3.0,2.0,0.0,0.0,0.0
1.0,2.0,3.0,0.0,0.0,0.0
1.0,2.0,3.0,0.0,0.0,0.0
1.0,3.0,0.0,0.0,2.0,0.0
0.0,0.0,2.0,0.0,1.0,3.0
2.0,3.0,1.0,0.0,0.0,0.0
1.0,2.0,3.0,0.0,0.0,0.0
0.0,1.0,2.0,0.0,3.0,0.0
3.0,0.0,2.0,0.0,0.0,1.0
2.0,0.0,1.0,0.0,3.0,0.0
1.0,0.0,2.0,0.0,0.0,3.0
1.0,0.0,0.0,3.0,2.0,0.0
1.0,0.0,2.0,0.0,3.0,0.0
1.0,3.0,2.0,0.0,0.0,0.0
3.0,2.0,0.0,1.0,0.0,0.0
2.0,0.0,3.0,0.0,1.0,0.0
1.0,3.0,0.0,2.0,0.0,0.0
2.0,3.0,0.0,1.0,0.0,0.0
3.0,0.0,0.0,0.0,1.0,2.0
1.0,0.0,3.0,0.0,0.0,2.0
3.0,2.0,0.0,1.0,0.0,0.0
1.0,2.0,0.0,0.0,3.0,0.0
3.0,0.0,0.0,1.0,0.0,2.0
2.0,3.0,1.0,0.0,0.0,0.0
2.0,1.0,3.0,0.0,0.0,0.0
1.0,2.0,0.0,0.0,3.0,0.0
0.0,3.0,0.0,1.0,0.0,2.0
0.0,1.0,0.0,2.0,3.0,0.0
1.0,3.0,0.0,2.0,0.0,0.0
0.0,3.0,2.0,1.0,0.0,0.0
2.0,1.0,3.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,3.0,2.0
2.0,3.0,0.0,1.0,0.0,0.0
1.0,3.0,0.0,0.0,0.0,2.0
3.0,1.0,2.0,0.0,0.0,0.0
0.0,1.0,2.0,0.0,3.0,0.0
1.0,0.0,0.0,2.0,3.0,0.0
0.0,0.0,0.0,3.0,2.0,1.0
1.0,2.0,0.0,3.0,0.0,0.0
0.0,1.0,0.0,2.0,0.0,3.0
2.0,0.0,0.0,3.0,1.0,0.0
0.0,2.0,3.0,0.0,1.0,0.0
1.0,2.0,0.0,0.0,0.0,3.0
2.0,3.0,0.0,1.0,0.0,0.0
0.0,1.0,0.0,2.0,3.0,0.0
0.0,3.0,2.0,0.0,1.0,0.0
0.0,3.0,1.0,0.0,2.0,0.0
3.0,1.0,2.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,1.0,3.0
1.0,2.0,3.0,0.0,0.0,0.0
2.0,0.0,1.0,0.0,0.0,3.0
0.0,0.0,1.0,2.0,0.0,3.0
1.0,2.0,0.0,0.0,0.0,3.0
1.0,3.0,0.0,0.0,0.0,2.0
0.0,1.0,2.0,3.0,0.0,0.0
1.0,0.0,2.0,3.0,0.0,0.0
1.0,2.0,0.0,0.0,0.0,3.0
1.0,0.0,2.0,0.0,3.0,0.0
1.0,2.0,0.0,0.0,3.0,0.0
0.0,3.0,0.0,0.0,2.0,1.0
2.0,3.0,0.0,0.0,1.0,0.0
2.0,0.0,0.0,1.0,3.0,0.0
1.0,0.0,2.0,0.0,3.0,0.0
3.0,0.0,1.0,0.0,2.0,0.0
1.0,0.0,0.0,0.0,3.0,2.0
1.0,0.0,2.0,3.0,0.0,0.0
1.0,3.0,2.0,0.0,0.0,0.0
1.0,3.0,2.0,0.0,0.0,0.0
2.0,0.0,1.0,0.0,3.0,0.0
1.0,2.0,0.0,0.0,3.0,0.0
2.0,1.0,0.0,3.0,0.0,0.0
1.0,0.0,3.0,0.0,2.0,0.0
2.0,0.0,0.0,0.0,3.0,1.0
1.0,3.0,0.0,0.0,2.0,0.0
0.0,1.0,0.0,2.0,0.0,3.0
0.0,2.0,3.0,0.0,0.0,1.0
1.0,0.0,2.0,3.0,0.0,0.0
0.0,0.0,1.0,3.0,2.0,0.0
1.0,0.0,0.0,2.0,0.0,3.0
2.0,1.0,3.0,0.0,0.0,0.0
2.0,1.0,0.0,0.0,3.0,0.0
3.0,1.0,0.0,2.0,0.0,0.0
0.0,0.0,1.0,2.0,0.0,3.0
0.0,1.0,2.0,0.0,0.0,3.0
1.0,3.0,0.0,0.0,0.0,2.0
2.0,1.0,0.0,3.0,0.0,0.0
1.0,2.0,3.0,0.0,0.0,0.0
3.0,2.0,0.0,1.0,0.0,0.0
1.0,3.0,0.0,0.0,0.0,2.0
3.0,2.0,0.0,0.0,1.0,0.0
0.0,3.0,0.0,2.0,0.0,1.0
1.0,0.0,3.0,0.0,0.0,2.0
2.0,1.0,3.0,0.0,0.0,0.0
3.0,2.0,0.0,1.0,0.0,0.0
3.0,2.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,2.0,1.0,3.0
1.0,0.0,0.0,0.0,3.0,2.0
0.0,0.0,1.0,2.0,0.0,3.0
1.0,0.0,0.0,2.0,3.0,0.0
1.0,2.0,0.0,0.0,3.0,0.0
3.0,1.0,0.0,2.0,0.0,0.0
1.0,0.0,3.0,0.0,2.0,0.0
1.0,3.0,0.0,0.0,0.0,2.0
1.0,2.0,3.0,0.0,0.0,0.0
1.0,0.0,0.0,3.0,2.0,0.0
2.0,0.0,0.0,1.0,3.0,0.0
3.0,0.0,1.0,0.0,0.0,2.0
3.0,0.0,2.0,0.0,1.0,0.0
3.0,1.0,0.0,2.0,0.0,0.0
2.0,3.0,1.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,2.0,3.0
1.0,3.0,2.0,0.0,0.0,0.0
2.0,1.0,0.0,0.0,3.0,0.0
0.0,1.0,2.0,0.0,3.0,0.0
3.0,0.0,2.0,1.0,0.0,0.0
1.0,0.0,2.0,3.0,0.0,0.0
3.0,0.0,1.0,2.0,0.0,0.0
2.0,0.0,0.0,1.0,0.0,3.0
1.0,3.0,0.0,0.0,2.0,0.0
1.0,0.0,3.0,2.0,0.0,0.0
1.0,0.0,0.0,2.0,0.0,3.0
0.0,0.0,1.0,0.0,2.0,3.0
3.0,2.0,1.0,0.0,0.0,0.0
1.0,3.0,0.0,0.0,0.0,2.0
0.0,3.0,1.0,0.0,2.0,0.0
1.0,0.0,2.0,0.0,0.0,3.0
1.0,2.0,0.0,3.0,0.0,0.0
2.0,0.0,0.0,1.0,3.0,0.0
1.0,3.0,0.0,0.0,2.0,0.0
0.0,3.0,1.0,0.0,0.0,2.0
1.0,0.0,0.0,0.0,2.0,3.0
2.0,1.0,0.0,3.0,0.0,0.0
1.0,0.0,0.0,2.0,3.0,0.0
1.0,2.0,0.0,0.0,3.0,0.0
3.0,0.0,0.0,0.0,1.0,2.0
0.0,0.0,0.0,1.0,3.0,2.0
3.0,1.0,0.0,0.0,2.0,0.0
1.0,3.0,2.0,0.0,0.0,0.0
2.0,0.0,1.0,3.0,0.0,0.0
3.0,0.0,0.0,2.0,1.0,0.0
2.0,3.0,0.0,0.0,1.0,0.0
0.0,1.0,2.0,3.0,0.0,0.0
1.0,2.0,0.0,0.0,3.0,0.0
1.0,2.0,0.0,0.0,3.0,0.0
1.0,2.0,0.0,3.0,0.0,0.0
1.0,3.0,0.0,0.0,0.0,2.0
0.0,1.0,2.0,3.0,0.0,0.0
0.0,2.0,0.0,3.0,1.0,0.0
2.0,0.0,1.0,3.0,0.0,0.0
0.0,1.0,2.0,0.0,0.0,3.0
0.0,3.0,0.0,0.0,1.0,2.0
1.0,3.0,2.0,0.0,0.0,0.0
1.0,0.0,0.0,3.0,2.0,0.0
2.0,0.0,0.0,1.0,3.0,0.0
1.0,2.0,0.0,0.0,0.0,3.0
2.0,0.0,1.0,0.0,0.0,3.0
0.0,1.0,0.0,2.0,3.0,0.0
